query,stakeholders,roles,topics,concepts,rounds,time (ms)
tiramisu,3,0,1,10,3000,9139
tiramisu,3,0,2,10,1,322
tiramisu,3,0,2,10,3000,9417
tiramisu,3,0,2,3,3000,3866
mongolian,3,0,3,1,100,125
tiramisu,3,0,2,1,3000,3073
tiramisu,3,0,1,10,300,3109
mongolian,3,0,1,50,10000,268408
mongolian,3,0,1,10,1,71
mongolian,3,0,2,1,100,72
mongolian,3,0,2,1,300,184
mongolian,3,0,2,1,3000,1968
mongolian,3,0,2,3,300,26758
mongolian,3,0,2,3,10000,17328
mongolian,3,0,2,3,30,186
tiramisu,3,0,1,1,3000,9030
mongolian,3,0,1,50,300,8075
mongolian,3,0,3,10,1,29069
tiramisu,3,0,1,50,300,4605
tiramisu,3,0,2,1,10000,9704
tiramisu,3,0,3,50,3000,46644
mongolian,3,0,1,3,1,8806
tiramisu,3,0,1,10,10000,31327
tiramisu,3,0,1,50,1,681
tiramisu,3,0,3,50,30,4514
tiramisu,3,0,2,10,10000,31288
mongolian,3,0,3,50,100,2668
tiramisu,3,0,1,50,30,127
mongolian,3,0,3,50,30,194
tiramisu,3,0,2,10,3000,3106
mongolian,3,0,2,3,3000,3906
mongolian,3,0,3,10,100,538
mongolian,3,0,2,50,10000,71070
mongolian,3,0,2,50,300,13277
tiramisu,3,0,1,1,30,36
tiramisu,3,0,2,10,10000,114337
tiramisu,3,0,1,10,10000,33524
tiramisu,3,0,2,10,3000,871441
tiramisu,3,0,1,50,10000,151413
tiramisu,3,0,3,50,3000,22023
mongolian,3,0,2,1,10000,320461
mongolian,3,0,2,50,3000,81133
tiramisu,3,0,2,50,1,164
mongolian,3,0,2,10,100,102
tiramisu,3,0,1,3,10000,46477
tiramisu,3,0,3,50,10000,107612
tiramisu,3,0,3,3,100,97
tiramisu,3,0,2,3,100,590
mongolian,3,0,1,50,300,2055
tiramisu,3,0,2,1,300,278
tiramisu,3,0,1,3,100,96
tiramisu,3,0,3,1,1,45
tiramisu,3,0,1,3,10000,10592
mongolian,3,0,2,10,10000,54775
tiramisu,3,0,1,3,300,293
tiramisu,3,0,2,3,300,310
mongolian,3,0,1,50,10000,68461
tiramisu,3,0,3,50,10000,452809
tiramisu,3,0,3,1,100,521
mongolian,3,0,2,50,3000,21421
tiramisu,3,0,2,10,300,87063
mongolian,3,0,3,1,100,118
tiramisu,3,0,1,10,10000,2894699
mongolian,3,0,3,3,100,164
tiramisu,3,0,2,50,100,711
tiramisu,3,0,2,1,10000,3870
mongolian,3,0,2,10,300,1675
tiramisu,3,0,3,1,300,9956
mongolian,3,0,1,50,3000,80789
mongolian,3,0,2,1,300,287
tiramisu,3,0,3,3,3000,272276
mongolian,3,0,3,10,1,1272
tiramisu,3,0,1,3,30,467
tiramisu,3,0,1,3,300,26521
mongolian,3,0,3,50,30,4518
tiramisu,3,0,2,3,1,99
tiramisu,3,0,1,10,10000,31144
tiramisu,3,0,3,50,30,4568
mongolian,3,0,3,50,10000,457975
tiramisu,3,0,3,50,30,744
mongolian,3,0,3,10,1,586
tiramisu,3,0,3,1,10000,12617
tiramisu,3,0,3,1,1,3348
tiramisu,3,0,1,3,1,97
tiramisu,3,0,1,1,30,85
mongolian,3,0,3,50,300,2231
tiramisu,3,0,3,10,1,1274
mongolian,3,0,3,10,1,537
tiramisu,3,0,3,1,300,157
mongolian,3,0,2,50,3000,5953
tiramisu,3,0,3,10,300,3764
tiramisu,3,0,3,3,10000,11403
tiramisu,3,0,1,3,1,8835
mongolian,3,0,1,50,1,2695
mongolian,3,0,3,1,300,199
tiramisu,3,0,3,50,10000,73691
mongolian,3,0,2,50,30,143828
tiramisu,3,0,3,3,100,9046
mongolian,3,0,2,1,3000,1963
tiramisu,3,0,1,1,10000,7669
tiramisu,3,0,2,1,3000,3210
mongolian,3,0,2,10,30,1164
mongolian,3,0,3,1,1,3302
mongolian,3,0,3,3,10000,16887
mongolian,3,0,2,3,10000,9377
mongolian,3,0,1,1,1,3136
tiramisu,3,0,3,3,3000,3191
tiramisu,3,0,1,1,3000,93307
mongolian,3,0,3,50,1,144277
mongolian,3,0,3,3,3000,5212
mongolian,3,0,3,3,10000,68534
tiramisu,3,0,1,10,100,1053
tiramisu,3,0,2,10,3000,34651
mongolian,3,0,1,50,3000,4329555
mongolian,3,0,3,10,100,29200
tiramisu,3,0,3,50,10000,155936
mongolian,3,0,3,1,10000,52221
tiramisu,3,0,3,10,10000,24200
tiramisu,3,0,3,10,1,29197
mongolian,3,0,2,3,3000,5155
mongolian,3,0,3,50,100,2694
mongolian,3,0,2,10,300,3432
mongolian,3,0,2,50,100,168
tiramisu,3,0,2,3,300,26886
tiramisu,3,0,3,3,300,27221
mongolian,3,0,2,50,1,4414
tiramisu,3,0,1,3,30,102
tiramisu,3,0,3,1,300,119
mongolian,3,0,1,50,3000,20516
mongolian,3,0,1,10,10000,2899660
tiramisu,3,0,1,10,30,1046
mongolian,3,0,1,50,1,137
mongolian,3,0,3,3,30,9069
mongolian,3,0,1,3,100,465
mongolian,3,0,1,10,3000,2457
tiramisu,3,0,1,10,3000,870128
mongolian,3,0,2,3,30,8965
tiramisu,3,0,2,1,1,3241
tiramisu,3,0,1,10,300,237
mongolian,3,0,2,10,100,541
tiramisu,3,0,2,50,1,187
mongolian,3,0,1,3,300,328
mongolian,3,0,2,10,300,1717
mongolian,3,0,3,50,1,2671
tiramisu,3,0,1,50,30,1515
tiramisu,3,0,2,1,1,40
mongolian,3,0,3,1,30,73
mongolian,3,0,3,10,300,1652
mongolian,3,0,3,1,100,61
tiramisu,3,0,3,10,1,29163
mongolian,3,0,3,3,1,706
tiramisu,3,0,3,10,300,3751
tiramisu,3,0,3,1,100,136
mongolian,3,0,1,10,30,71
mongolian,3,0,2,50,100,1047
mongolian,3,0,1,10,300,1613
tiramisu,3,0,1,50,10000,435280
mongolian,3,0,3,50,3000,91463
tiramisu,3,0,2,1,3000,12368
tiramisu,3,0,1,1,10000,29973
mongolian,3,0,3,10,100,29241
mongolian,3,0,2,10,3000,34755
mongolian,3,0,2,1,3000,1861
mongolian,3,0,2,50,1,1042
tiramisu,3,0,2,10,30,333
mongolian,3,0,2,50,10000,270301
mongolian,3,0,1,50,3000,4322643
tiramisu,3,0,3,3,10000,10375
mongolian,3,0,2,1,10000,10521
tiramisu,3,0,3,1,1,139
tiramisu,3,0,2,1,300,322
mongolian,3,0,3,1,30,146
mongolian,3,0,3,10,100,1272
tiramisu,3,0,3,3,30,100
mongolian,3,0,3,50,1,2751
mongolian,3,0,2,1,10000,41140
tiramisu,3,0,2,1,100,89
mongolian,3,0,3,3,100,9067
tiramisu,3,0,2,1,10000,4076
mongolian,3,0,3,10,30,1253
tiramisu,3,0,1,10,10000,30597
mongolian,3,0,2,50,10000,443936
tiramisu,3,0,3,3,300,352
mongolian,3,0,1,50,100,134
tiramisu,3,0,2,10,300,3435
mongolian,3,0,3,10,30,538
mongolian,3,0,2,3,1,99
tiramisu,3,0,3,10,10000,13123
tiramisu,3,0,2,50,30,1051
tiramisu,3,0,2,50,300,4535
mongolian,3,0,3,3,3000,4804
mongolian,3,0,3,1,10000,52259
mongolian,3,0,1,3,1,103
tiramisu,3,0,3,1,10000,333319
tiramisu,3,0,3,10,3000,876992
tiramisu,3,0,3,50,300,13590
tiramisu,3,0,3,10,300,937
mongolian,3,0,1,3,10000,886922
mongolian,3,0,3,1,300,9949
tiramisu,3,0,3,3,30,131
mongolian,3,0,1,3,3000,14025
tiramisu,3,0,1,50,1,143938
tiramisu,3,0,3,50,300,4626
tiramisu,3,0,3,1,1,523
mongolian,3,0,1,10,1,544
mongolian,3,0,3,50,10000,19484
mongolian,3,0,1,1,100,310
tiramisu,3,0,2,1,300,281
tiramisu,3,0,1,1,3000,2275
tiramisu,3,0,3,1,3000,3809
tiramisu,3,0,2,3,3000,3912
tiramisu,3,0,1,10,10000,31430
mongolian,3,0,1,10,300,1628
mongolian,3,0,1,10,3000,31131
mongolian,3,0,2,1,10000,321547
mongolian,3,0,2,1,300,9670
tiramisu,3,0,1,3,10000,10051
mongolian,3,0,3,3,30,696
mongolian,3,0,1,50,300,8066
tiramisu,3,0,1,50,1,685
tiramisu,3,0,3,10,30,148
mongolian,3,0,3,10,3000,878225
mongolian,3,0,2,50,300,13257
tiramisu,3,0,3,1,30,129
mongolian,3,0,1,3,30,177
mongolian,3,0,1,3,30,163
tiramisu,3,0,1,1,10000,3732
tiramisu,3,0,1,50,3000,129467
mongolian,3,0,1,3,10000,17010
mongolian,3,0,3,50,3000,7033
tiramisu,3,0,2,3,30,125
mongolian,3,0,2,50,3000,4338795
tiramisu,3,0,1,50,30,1513
mongolian,3,0,1,50,30,2677
mongolian,3,0,1,3,10000,46710
mongolian,3,0,1,10,3000,17069
mongolian,3,0,1,10,1,542
tiramisu,3,0,1,1,30,77
tiramisu,3,0,3,3,300,27195
tiramisu,3,0,3,50,10000,454188
mongolian,3,0,2,10,30,118
mongolian,3,0,1,50,300,8014
tiramisu,3,0,3,3,100,100
tiramisu,3,0,2,50,100,1526
tiramisu,3,0,1,3,300,194
tiramisu,3,0,3,1,30,139
mongolian,3,0,1,10,3000,16421
mongolian,3,0,1,50,1,1030
mongolian,3,0,2,3,300,379
tiramisu,3,0,2,3,1,96
tiramisu,3,0,2,3,100,601
tiramisu,3,0,3,50,1,144401
tiramisu,3,0,1,10,1,29062
mongolian,3,0,3,1,10000,6316
mongolian,3,0,3,3,300,510
tiramisu,3,0,3,1,30,45
mongolian,3,0,2,50,1,2705
mongolian,3,0,1,1,300,916
mongolian,3,0,2,3,1,575
mongolian,3,0,1,3,1,8859
tiramisu,3,0,2,3,10000,57348
mongolian,3,0,3,10,300,1746
tiramisu,3,0,2,1,30,96
mongolian,3,0,2,1,100,95
tiramisu,3,0,3,50,3000,45691
mongolian,3,0,2,3,1,8993
mongolian,3,0,2,3,30,182
mongolian,3,0,1,50,10000,14451283
mongolian,3,0,3,1,30,66
mongolian,3,0,1,10,3000,16442
mongolian,3,0,1,50,1,2734
mongolian,3,0,3,3,300,2067
tiramisu,3,0,2,1,1,40
mongolian,3,0,3,50,3000,136537
tiramisu,3,0,3,1,30,139
mongolian,3,0,2,1,300,9649
tiramisu,3,0,3,10,3000,4289
mongolian,3,0,1,3,1,469
mongolian,3,0,3,1,100,3325
tiramisu,3,0,1,50,100,1493
mongolian,3,0,2,3,300,513
mongolian,3,0,2,3,10000,10089
tiramisu,3,0,1,1,300,127
mongolian,3,0,1,50,10000,267171
tiramisu,3,0,1,3,300,314
tiramisu,3,0,2,3,3000,269542
tiramisu,3,0,1,3,300,301
mongolian,3,0,3,10,30,29263
tiramisu,3,0,3,3,1,700
mongolian,3,0,3,1,30,514
mongolian,3,0,1,1,1,61
mongolian,3,0,3,1,300,10001
tiramisu,3,0,1,50,10000,16261
mongolian,3,0,3,10,100,149
mongolian,3,0,3,3,3000,272900
tiramisu,3,0,3,1,10000,14108
mongolian,3,0,3,10,1,252
mongolian,3,0,3,3,3000,5140
tiramisu,3,0,3,1,100,3336
mongolian,3,0,1,10,3000,5552
tiramisu,3,0,2,3,300,293
mongolian,3,0,1,1,100,64
mongolian,3,0,2,10,30,101
tiramisu,3,0,1,50,10000,68040
mongolian,3,0,2,3,300,393
tiramisu,3,0,2,3,100,126
tiramisu,3,0,1,10,100,83
mongolian,3,0,3,10,3000,8272
mongolian,3,0,2,1,1,420
mongolian,3,0,2,3,3000,17304
mongolian,3,0,3,3,10000,17431
tiramisu,3,0,3,1,3000,15907
tiramisu,3,0,3,3,1,163
mongolian,3,0,2,1,100,66
mongolian,3,0,1,1,1,63
mongolian,3,0,3,1,30,535
tiramisu,3,0,1,3,3000,3011
mongolian,3,0,1,10,3000,2236
tiramisu,3,0,3,10,10000,127244
mongolian,3,0,3,50,30,760
tiramisu,3,0,2,10,3000,9216
mongolian,3,0,1,10,1,29014
mongolian,3,0,3,1,10000,6887
tiramisu,3,0,1,10,1,348
mongolian,3,0,1,1,10000,30138
mongolian,3,0,2,1,100,106
mongolian,3,0,3,10,1,275
tiramisu,3,0,1,50,10000,152250
mongolian,3,0,2,10,300,87603
mongolian,3,0,3,50,3000,7087
tiramisu,3,0,3,3,10000,909624
mongolian,3,0,2,50,3000,31383
mongolian,3,0,3,3,300,381
tiramisu,3,0,3,3,1,9096
tiramisu,3,0,3,1,30,39
tiramisu,3,0,2,1,3000,12412
tiramisu,3,0,1,50,30,1560
tiramisu,3,0,3,50,3000,136243
mongolian,3,0,3,3,30,178
mongolian,3,0,1,50,10000,271491
mongolian,3,0,2,3,3000,5069
mongolian,3,0,2,1,300,192
mongolian,3,0,3,3,10000,12376
mongolian,3,0,3,1,300,198
mongolian,3,0,3,3,30,175
mongolian,3,0,2,3,10000,13582
tiramisu,3,0,3,1,300,1580
tiramisu,3,0,3,3,30,99
mongolian,3,0,1,50,300,404
tiramisu,3,0,3,1,30,532
tiramisu,3,0,2,1,10000,4047
tiramisu,3,0,1,10,1,317
mongolian,3,0,2,50,300,8140
mongolian,3,0,2,1,30,90
mongolian,3,0,3,3,30,128
tiramisu,3,0,2,3,1,581
tiramisu,3,0,2,50,300,2122
tiramisu,3,0,1,1,1,77
mongolian,3,0,1,3,10000,46346
tiramisu,3,0,2,1,1,414
mongolian,3,0,1,50,10000,270166
tiramisu,3,0,1,50,10000,155231
tiramisu,3,0,2,50,3000,21289
tiramisu,3,0,2,1,30,418
mongolian,3,0,1,50,3000,4327884
tiramisu,3,0,3,1,1,3376
mongolian,3,0,3,50,3000,80555
tiramisu,3,0,3,3,1,9112
mongolian,3,0,2,1,100,3207
tiramisu,3,0,3,10,100,138
tiramisu,3,0,2,10,10000,114966
tiramisu,3,0,2,3,100,102
tiramisu,3,0,1,50,1,1518
mongolian,3,0,3,1,1,142
mongolian,3,0,3,3,1,166
mongolian,3,0,3,3,300,2046
tiramisu,3,0,2,50,300,2117
tiramisu,3,0,1,50,30,4314
tiramisu,3,0,2,50,1,1532
mongolian,3,0,3,10,1,540
tiramisu,3,0,3,1,30,39
tiramisu,3,0,1,50,10000,151856
mongolian,3,0,2,3,100,136
tiramisu,3,0,2,50,1,1044
mongolian,3,0,3,3,300,369
mongolian,3,0,3,3,10000,68658
mongolian,3,0,3,3,30,174
mongolian,3,0,3,1,3000,100316
mongolian,3,0,1,50,1,1001
mongolian,3,0,3,1,1,139
mongolian,3,0,1,3,3000,2022
tiramisu,3,0,1,10,1,315
tiramisu,3,0,2,1,300,293
mongolian,3,0,1,50,30,4337
tiramisu,3,0,1,50,30,689
tiramisu,3,0,3,3,100,701
tiramisu,3,0,1,3,100,64
tiramisu,3,0,1,1,300,9317
mongolian,3,0,2,10,30,555
mongolian,3,0,1,50,300,2057
tiramisu,3,0,2,1,1,39
mongolian,3,0,3,3,3000,3693
tiramisu,3,0,3,50,3000,136426
mongolian,3,0,3,10,10000,58293
mongolian,3,0,1,1,10000,6711
tiramisu,3,0,3,10,1,135
tiramisu,3,0,2,50,100,1574
mongolian,3,0,2,3,30,584
mongolian,3,0,3,3,100,182
tiramisu,3,0,2,50,3000,5897
mongolian,3,0,2,3,1,98
tiramisu,3,0,1,50,1,1550
tiramisu,3,0,3,1,100,129
tiramisu,3,0,2,10,100,101
tiramisu,3,0,2,10,3000,34385
tiramisu,3,0,1,10,3000,2220
tiramisu,3,0,2,10,10000,115960
tiramisu,3,0,2,3,10000,898318
tiramisu,3,0,2,3,100,597
tiramisu,3,0,1,10,1,178
tiramisu,3,0,3,50,10000,74022
tiramisu,3,0,1,1,300,227
mongolian,3,0,1,1,30,68
tiramisu,3,0,2,3,1,130
tiramisu,3,0,3,10,3000,877306
tiramisu,3,0,2,1,3000,3298
